,Nome da Missão,Descrição,Prazo,Requisitos,Recompensas,Tipo,Item,Ativada ao,Requirimentos,Fornecido por,Pré-requisitos,Repetível
0,Plantas Qi,"Eu escondi  Grãos Qi  pelo mundo. Encontre eles, cresça-os, prolifere-os, e envie 500  Frutas Qi  dentro do limite de tempo.",28 dias,Envie  Fruta Qi  (500)  .,100,Especiais sr qi,,,,,,
1,Vamos jogar um jogo,"Você acha que consegue fazer 50,000 pontos no  Junimo Kart  no modo infinito? Prove.",7 dias,Marque 50.000 pontos no modo infinito do JunimoKart.,10,Especiais sr qi,,,,,,
2,Quatro Pedras Preciosas,Encontre 4  Fragmentos Prismáticos  . Coloque-os na minha caixa de coleção.,28 dias,"Colete  Fragmento prismático  (4)  .  (Ao contrário de outras missões, você não precisa conquistá-las enquanto a missão estiver ativa. Você pode usar 4 fragmentos prismáticos que foram obtidos anteriormente.)",40,Especiais sr qi,,,,,,
3,Desafio Faminto de Qi,"Sua tarefa é chegar ao nível 100 na  Caverna da Caveira  . No entanto, você não pode beber ou comer nada enquanto estiver lá.",7 dias,"Alcance o nível 100 da  Caverna da Caveira  sem consumir nenhum item de Comida. Isso pode ser feito usando  escadas  . Enquanto esta missão estiver ativa,  Gosmas Grandes  irão ocasionalmente aparecer com um coração que recuperará 10 HP quando morrer.  Outra estratégia para recuperar a saúde durante a missão sem comer comida é equipar um ou mais  Anel vampiro  que restauram 2 HP toda vez que um monstro é morto.",25,Especiais sr qi,,,,,,
4,Cozinha Qi,"Envie 100,000g em comidas que você fez.",14 dias,"Envie  100 000 ouros  em itens recém cozidos. Somente itens preparados após aceitar a missão contam, e esses itens têm ""Fresco"" em seu nome.  Duas maneiras fáceis de concluir esse pedido especial são:  Comprar ou preparar 669  cafés  (que custam  200 700 ouros  , se comprados no  Saloon Fruta Estrelar  ) e preparar 223  Café Expresso Triplo  Fresco.  Cultive 1667  trigo  , transforme-os em  farinha de trigo  (ou compre 1667 farinha de trigo, que custa  166 700 ouros  se for comprada no  Armazém do Pierre  , ou  208 375 ouros  se for comprada no  MercaJoja  ) e cozinhe 1667  Pão  Fresco.",25,Especiais sr qi,,,,,,
5,Bondade de Qi,Dê 50 presentes amados em uma semana.,7 dias,Dê 50  presentes amados  em uma semana.,40,Especiais sr qi,,,,,,
6,Família Extendida,"Membros da família dos peixes lendários retornaram ao vale. Você tem três dias para pegar  Srta. Tamboril  ,  Peixe-Gelo Jr.  ,  Filho do Peixe-Carmim  ,  Carpa Radioativa  , e  A Lenda II  .",3 dias,"Pegue  Srta. Tamboril  ,  Peixe-Gelo Jr.  ,  Filho do Peixe-Carmim  ,  Carpa Radioativa  , e  Lenda II  . Eles podem ser capturados nos mesmos locais que os peixes da geração anterior, mas a barra de pesca não é marcada de forma distinta, como acontece com o lendário peixe original.",20,Especiais sr qi,,,,,,
7,Perigo nas Profundezas,"O elevador da  mina  foi resetado, e novos perigos surgiram das profundezas. Chegue ao fundo das minas em uma semana.",7 dias,Alcance o fundo da  mina  nas montanhas. Isso pode ser feito usando  escadas  .,50,Especiais sr qi,,,,,,
8,Invasão na Caverna da Caveira,A  Caverna da Caveira  foi invadida por monstros poderosos. Chegue ao nível 100 vivo.,7 dias,Chegue ao nível 100 da  Caverna da Caveira  . Isso pode ser feito usando  escadas  .,40,Especiais sr qi,,,,,,
9,Granja Prismática de Qi,"Encontre 100 itens das cores vermelho, laranja, amarelo, verde, azul e roxo. Coloque-os na minha caixa de coleção.",14 dias,"Coloque 100 itens  vermelhos  ,  laranjas  ,  amarelos  ,  verdes  ,  azuis  e  roxos  na caixa de coleta do Sr. Qi.  Observe que a missão é mais rígida do que os potes de tinta. Os itens depositados não serão devolvidos.",35,Especiais sr qi,,,,,,
10,Machado perdido da Robin,Robin o procurou por toda a parte.,,,,Itens lista,Machado perdido,,,,,
11,"""Shorts"" do Prefeito",Melhor não examinar mais detalhadamente.,,,,Itens lista,Calções roxos da sorte,,,,,
12,Cesta de Mirtilos,As fibras estão manchadas de suco de cereja.,,,,Itens lista,Cesto de cerejas,,,,,
13,A Esposa do Pirata,É uma foto desvanecida de um soldado...,,,,Itens lista,Lembrança de Guerra,,,,,
14,A Esposa do Pirata,Um raro e delicioso sal.,,,,Itens lista,Sal Gourmet de Tomate,,,,,
15,A Esposa do Pirata,Uma rosa que te lembra o vale. O cheiro é divino.,,,,Itens lista,Rosa do Vale do Orvalho,,,,,
16,A Esposa do Pirata,Tem mais botões que um controle normal. Perfeito para um ávido assistidor de TV!,,,,Itens lista,Controle de TV Avançado,,,,,
17,A Esposa do Pirata,Este estilhaço brilha com uma luz azul sobrenatural.,,,,Itens lista,Estilhaço Ártico,,,,,
18,A Esposa do Pirata,É uma minhoca úmida se mexendo.,,,,Itens lista,Minhoca Viva,,,,,
19,A Esposa do Pirata,É uma lembrança de um pirata velho.,,,,Itens lista,Medalhão de Pirata,,,,,
20,Apresentações,Seria um ótimo gesto se apresentar na cidade. Algumas pessoas podem estar ansiosas para conhecer o novo fazendeiro.,,,,Lista,,Missão introdutória,Ter conhecido 28  pessoas  .,,,
21,Como ganhar amigos,Dar presentes é uma ótima forma de construir relacionamentos. Aprenda os gostos individuais de cada pessoa e você será popular em pouco tempo.,,,100 ouros,Lista,,Completar 'Apresentações',Dê um presente a alguém.,,,
22,Primeiros passos,"Se você quiser trabalhar na fazenda, precisa começar com o básico. Utilize sua enxada para arar o solo. Então, utilize um pacote de sementes no solo arado para plantar. Regue todos os dias até que sua colheita esteja pronta.",,,100 ouros,Lista,,Pegar o pacote de sementes no baú da casa.,Plante e colha uma  chirívia  .,,,
