,Unnamed: 0,Imagem,Nome,Uso,Obtenção,Descrição,Localização
0,0,,Guia de pigmeu,Desbloqueia a habilidade de falar com o  Anão  nas  Minas  e com o Anão no Vulcão.,Recompensa após doar 4 pergaminhos do Anão ao  Museu  .,,
1,1,,Chave Enferrujada,Usada para entrar no  Os Esgotos  .,Recebida do  Gunther  um dia depois de doar 60 itens ao  Museu  .,,
2,2,,Cartão do Clube,Usado para entrar no  Cassino  .,"Completando a missão  ""O Misterioso Qi""  .",,
3,3,,Amuleto Especial,Permanentemente aumenta a  sorte  diária.,Do motorista do caminhão na frente do  Mercado Joja  (ou o  Cinema  ) depois de encontrar o recado secreto  Recado Secreto #20  depois de doar a ele um  Pé de coelho  .,,
4,4,,Chave de Caveira,Desbloqueia a porta para a  Caverna da Caveira  e desbloqueia o  JunimoKart  no  Saloon Fruta Estrelar  .,Do andar 120 das  Minas  .,,
5,5,,Lupa,Desbloqueia a habilidade de encontrar  Recados Secretos  .,"Depois de completar a missão  ""Um Mistério no Inverno""  .",,
6,6,,Talismã das Trevas,Item de  Missão  .,Do baú no  Covil dos Insetos Mutantes  .,,
7,7,,Tinta mágica,Item de  Missão  .,Encontrado na mesa da [Cabana da Bruxa]].,,
8,8,,Conhecimento do Urso,Aumenta o preço de venda da  Amora  e  Amora-silvestre  por 3x.,Trazer  Xarope de ácer  no  Bosque Secreto  depois de achar o  Recado Secreto #23  .,,
9,9,,Domínio das Cebolinhas,Aumenta o preço de venda das  Cebolinhas  por 5x.,Depois de ativar o evento do  Vincent  /  Jas  ' de 8 corações.,,
10,10,,Chave da Vila,"Permite o acesso de todas as construções da Vila, a qualquer horário. (com algumas restrições).",Comprado da  Sala de Nozes do Sr. Qi  por  20  Gemas Qi  .,,
11,0,,Catálogo de Animais,,,Você pode acessar a loja de Marnie quando ela não estiver por perto.,Comprado de  Marnie  por  5 000 ouros  (pode ser comprado várias vezes)
12,1,,Isca e o Anzol,,,Leia isto para ganhar alguma experiência de pesca.,Comprado do  Vendedor de Livros  por  5 000 ouros  Também pode ser obtido de  ponto de artefatos  Também pode ser encontrado em  caixas misteriosas douradas  Também pode ser encontrado em  baús do tesouro da pesca
13,2,,Livro das Estrelas,,,Leia isto para ganhar alguma experiência em todas as habilidades.,Comprado no  Vendedor de Livros  por  15 000 ouros  Dado pelos guaxinins após completarem seu quarto pedido
14,3,,Livro de Mistérios,,,Você tem uma chance um pouco maior de encontrar Caixas Misteriosas.,Encontrado em caixas misteriosas douradas  Caixas misteriosas douradas
