,Imagem,Nome,Descrição,Preço de Venda,Localização,Usado em
0,,Olho de tigre,Uma camada de ouro brilhante dá a esta joia um lustre brilhante.,275 ouros,Geodo de magma  Omnigeodo,Sam  ama
1,,Opala,Sua estrutura interna faz com que emita um arco-íris.,150 ouros,Geodo congelado  Omnigeodo,
2,,Opala de fogo,"Uma variedade rara de opala, conhecida por suas partes vermelhas.",350 ouros,Geodo de magma  Omnigeodo,
3,,Alamita,Sua distinta fluorescência torna este mineral um favorito dos colecionadores de minerais.,150 ouros,Geodo  Omnigeodo,
4,,Quatrônio,Uma estrutura metálica e escura procurada por sua estrutura cúbica.,300 ouros,Geodo de magma  Omnigeodo  Gosma preta,
5,,Barita,As melhores amostras lembram uma rosa no deserto.,50 ouros,Geodo de magma  Omnigeodo,
6,,Aerinita,Estes cristais são curiosamente leves.,125 ouros,Geodo congelado  Omnigeodo,
7,,Calcita,Este cristal amarelo está salpicado de nódulos brilhantes.,75 ouros,Geodo  Omnigeodo,
8,,Dolomita,"Pode ocorrer em recifes, geralmente em um vulcão aquático.",300 ouros,Geodo de magma  Omnigeodo,
9,,Esperita,Os cristais geram um brilho verde quando estimulados.,100 ouros,Geodo congelado  Omnigeodo,
10,,Fluorapatita,Pequenas quantidades podem ser encontradas em dentes humanos.,200 ouros,Geodo congelado  Omnigeodo,
11,,Geminita,Ocorre em agrupamentos brilhantes.,150 ouros,Geodo congelado  Omnigeodo,
12,,Helvita,Ocorre em colunas triangulares.,450 ouros,Geodo de magma  Omnigeodo,
13,,Jamborita,Os cristais estão tão juntos que chega a embaçar os olhos.,150 ouros,Geodo  Omnigeodo,
14,,Jagoíta,A grande quantidade de cristais deixa a estrutura muito brilhante.,115 ouros,Geodo  Omnigeodo,
15,,Cianita,As faces geométricas são lisas como vidro.,250 ouros,Geodo congelado  Omnigeodo,
16,,Lunarita,Os buracos brancos e redondos estão agrupados bem próximos.,200 ouros,Geodo congelado  Omnigeodo,
17,,Malachita,Uma pedra ornamental muito popular e utilizada em escultura para fazer tinta verde.,100 ouros,Geodo  Omnigeodo,
18,,Netunita,Um cristal muito preto. Reflete uma quantidade anormal de luz.,400 ouros,Geodo de magma  Omnigeodo  Gosma preta,
19,,Pedra de limão,Dizem que o cristal em pó é uma delícia dos anões.,200 ouros,Geodo de magma  Omnigeodo,Anão  ama
20,,Necoíta,Os fragmentos delicados formam um pequeno plano rosa.,80 ouros,Geodo  Omnigeodo,
21,,Auripigmento,"Apesar de sua alta toxicidade, este mineral é amplamente usado em indústrias e em remédios populares.",80 ouros,Geodo  Omnigeodo,
22,,Gosma petrificada,Este rapazinho deve ter 100.000 anos.,120 ouros,Geodo  Omnigeodo  Bola de gosma,
23,,Ovo-trovão,"De acordo com a lenda, espíritos zangados lançavam pedras uns nos outros.",100 ouros,Geodo  Omnigeodo,
24,,Pirita,"Conhecida comumente como ""Ouro dos Tolos"".",120 ouros,Geodo congelado  Omnigeodo,
25,,Pedra do Oceano,Uma velha lenda diz que estas pedras são mosaicos das antigas sereias.,220 ouros,Geodo congelado  Omnigeodo,
26,,Cristal-fantasma,Há uma aura fria em volta deste cristal.,200 ouros,Geodo congelado  Omnigeodo,
27,,Jaspe,"Quando polida, esta joia emite um brilho maravilhoso. Estimada por civilizações antigas por milhares de anos.",150 ouros,Geodo de magma  Omnigeodo,
28,,Celestina,Algumas formas de vida antiga eram feitas desta substância.,125 ouros,Geodo  Omnigeodo,
29,,Mármore,Um material muito popular para esculturas e construções.,110 ouros,Geodo congelado  Omnigeodo,Braseiro de mármore
30,,Arenito,"Um tipo muito comum de pedra, com linhas vermelhas e marrons.",60 ouros,Geodo  Omnigeodo,
31,,Granito,Um mineral salpicado e frequentemente usado em construções.,75 ouros,Geodo  Omnigeodo,
32,,Basalto,Se forma perto do magma quente.,175 ouros,Geodo de magma  Omnigeodo,
33,,Calcário,Um tipo muito comum de pedra. Não é muito valioso.,15 ouros,Geodo  Omnigeodo,
34,,Pedra-sabão,"Por causa de sua consistência macia, esta pedra é popular para esculturas.",120 ouros,Geodo congelado  Omnigeodo,
35,,Hematita,Um mineral de ferro com propriedades magnéticas interessantes.,150 ouros,Geodo congelado  Omnigeodo,
36,,Lamito,Uma pedra com poros pequenos feita de argila antiga ou lama.,25 ouros,Geodo  Omnigeodo,
37,,Obsidiana,Vidro vulcânico que se forma quando o magma esfria rapidamente.,200 ouros,Geodo de magma  Omnigeodo,Sebastian  ama
38,,Ardósia,"Extremamente resistente à água, tornando-o um excelente material para coberturas.",85 ouros,Geodo  Omnigeodo,
39,,Pedra de fada,Um velho minerador sugere que estas pedras são feitas dos ossos fossilizados de fadas.,250 ouros,Geodo congelado  Omnigeodo,
40,,Fragmentos de estrela,Ninguém sabe de onde vieram. Alguns cientistas dizem que a estrutura microscópica mostra uma irregularidade fora do comum.,500 ouros,Geodo de magma  Omnigeodo,
