,Imagem,Nome,Descrição,Conquista,Como obter
0,,Chapéu de Caubói,"O couro está velho e rachado, mas surpreendentemente flexível. Está com cheiro de mofo.",Coleção Completa,Complete a coleção do  Museu  .
1,,Chapéu-coco,Feito de feltro macio.,Milionário,Ganhe  1 000 000 ouros  .
2,,Cartola,Clássico para um cavalheiro.,,Compre por  8 000  no  Cassino  do Qi.
3,,Sombreiro,Chapéu com decoração festiva. Tecido com palha.,Lenda,Ganhe  10 000 000 ouros  .
4,,Chapéu de palha,Leve e fresco. A alegria de um fazendeiro,,Ganhe a caça aos ovos no  Festival do Ovo  .
5,,Boina oficial,"Parece ter pertencido a um carteiro ou policial. De qualquer forma, ainda está bem macio e cheira bem.",Velho Marinheiro,Pegue 24  peixes  diferentes.
6,,Touca azul,Volte aos doces tempos de infância com esta touca.,Cova do Tesouro,Doe 40 itens ao  Museu  .
7,,Chapéu Gourmet,Parece bom.,Vice-chefe de Cozinha,Cozinhe  25 receitas diferentes.
8,,Máscara de esqueleto,Os olhos vermelhos brilham misteriosamente,,Meta de Erradicação de Monstros  - Mate 50  Esqueletos  .
9,,Máscara de duende,Assuste a vizinhança com esta máscara medonha. Juntas de borracha nas orelhas para completar.,Envio Completo,Envie  um item de cada.
10,,Máscara de galinha,Faça-os todos sorrirem com esta máscara.,Uma Grande Ajuda,Complete 40 '  Precisa-se de ajuda  '.
11,,Protetor de orelhas,Mantenha suas orelhas aquecidas. Feito com veludo artesanal da Vila Castelo.,Popular,Alcance  amizade  nível 5 com 20 pessoas.
12,,Lacinho delicado,Pequenas joias brilham enquanto você a examina.,Cozinheiro,Cozinhe  10 receitas diferentes.
13,,Tropiclipe,Possui a forma de uma pequena palmeira.,Subindo de Vida,Atualize  sua casa.
14,,Gravata-borboleta,É bem macia.,Um Novo Amigo,Alcance  amizade  nível 5 com alguém.
15,,Chapéu de caçador,A lã do chapéu continua quente até no meio da floresta.,Grande Vida,Atualize  sua casa o máximo possível.
16,,Chapéu de Caminhoneiro,Ponha atrás para esfriar a sua cabeça.,Artesão,Crie  30 itens diferentes.
17,,Chapéu de marinheiro,Fresco e rico em amido.,,Ganhe a competição de pesca no  Festival do Gelo  .
18,,Bom e velho chapéu,Um chapéu flexível com um bico amassado. Parece ter passado por muita coisa.,Dedo Verde,Ganhe  15 000 ouros
19,,Fedora,Essencial para o habitante da cidade.,,Compre por  500  na  Feira do Vale do Orvalho
20,,Chapéu legal,Desbotou bastante. Seu azul era bem vivo.,Autossuficiência,Ganhe  250 000 ouros
21,,Gravata da sorte,O meio é feito de ouro maciço.,Vaqueiro,Ganhe  50 000 ouros
22,,Gravata de bolinhas,É de revirar os olhos.,Subalterno,Complete 10 '  Precisa-se de ajuda  '.
23,,Chapéu de gnomo,Este gnomo era cabeçudo.,Mestre do Artesanato,Crie  todos os itens.
24,,Tampão de olho,Não dá para saber se é de verdade ou de uma loja de fantasias.,Velho Pescador,Pegue todos os  peixes  .
25,,Gorro de papai noel,Celebre um natal mágico.,Rede de Contatos,Alcance  amizade  nível 5 com 10 pessoas.
26,,Tiara,Possui uma grande ametista cercada de ouro.,Panelinha,Alcance  amizade  nível 5 com 4 pessoas.
27,,Chapéu duro,Para manter sua cabeça inteira.,,Meta de Erradicação de Monstros  - Mate 30  Cavadores  .
28,,Chapéu Sudoeste,Sua forma ajuda a manter os marinheiros secos durante tempestades.,Pescador,Pegue 10  peixes  diferentes.
29,,Margarida,Uma margarida fresca para colocar no cabelo.,Faça Você Mesmo,Crie  15 itens diferentes.
30,,Fita de melancia,Cores inspiradas pelo amado melão dourado.,Deus Pescador,Pegue 100  peixes  .
31,,Orelhas de rato,Feitas de fibra sintética.,Melhores Amigos,Alcance  amizade  nível 10 com alguém.
32,,Orelhas de gato,Bigodes incluídos.,Amado Fazendeiro,Alcance  amizade  nível 10 com 8 pessoas.
33,,Chapéu de Vaqueira,O laço está cheio de diamantes falsos.,Monocultura,Envie 300 itens de uma  lavoura  só.
34,,Chapéu de Vaqueiro,Para especialistas em laticínios.,Policultura,Envie 15 de cada  lavoura  .
35,,Chapéu de arqueiro,Na moda goste você de arqueiros ou não.,Chefe Gourmet,Cozinhe  todas as receitas.
36,,Panda Hat,A lovely panda hat.,,WeGame  [1]  (conteúdo exclusivo); impossível de obter de outra forma
37,,Chapéu de Caubói Azul,Um chapéu de caubói de jeans azul.,,Encontrado aleatoriamente em baús do tesouro na  Caverna da Caveira  .
38,,Chapéu de Caubói Vermelho,Um chapéu de caubói vermelho chamativo.,,Encontrado aleatoriamente em baús do tesouro na  Caverna da Caveira  .
39,,Chapéu de Cone,"Uma curiosidade, vinda de uma terra distante.",,Pode ser comprado durante o  Mercado Noturno  no barco mercante mágico.
40,,Chapéu Vivo,Ele absorve humidade do seu escalpo. Sem precisar regar!,,"* 0,001% chance de encontrar ao cortar ervas daninhas  * 0,01% chance de cair ao matar  Golem selvagem"
41,,Chapéu Mágico de Emily,Feito com amor por Emily. É 100% orgânico!,,Obtido no evento de 14 corações da  Emily
42,,Chapéu de Cogumelo,Tem cheiro de terra.,,1% de chance de obter ao cortar  Árvore de cogumelo
43,,Chapéu de Dinossauro,Um chapéu feito para parecer um pequeno dinossauro.,,Alfaiataria
44,,Máscara de Totem,"Não se preocupe, ela não vai deformar sua cara...",,Alfaiataria
45,,Boné com Logo,Um boné vermelho com uma logo na frente.,,Alfaiataria
46,,Elmo de Anão Vestível,Uma versão um pouco maior dos capacetes usados pelos anões.,,Alfaiataria
47,,Chapéu Elegante,Um chapéu elegante com uma pena na aba.,,Alfaiataria
48,,Máscara de Abóbora,Essa deve ter sido uma abóbora muito grande...,,Alfaiataria
49,,Osso de Cabelo,Uma versão pré-histórica do arco de cabelo.,,Alfaiataria
50,,Elmo de Cavaleiro,Parece até que é de verdade!,,Meta de Erradicação de Monstros  - Mate 50  Pimentas Rex  .
51,,Elmo de Escudeiro,A cara é exposta pra aumentar o fluxo de ar.,,Aleatoriamente cai ao matar  Cabeça de metal
52,,Cachecol de Bolinhas,Um cachecol vermelho de bolinhas amarrado no pescoço.,,Alfaiataria
53,,Gorro,Um chapéu bem quente e justo.,,Alfaiataria
54,,Gorro Grande,Um chapéu quente e um pouco largo.,,Alfaiataria
55,,Chapéu de Pescador,A aba larga te mantém na sombra enquanto estiver pescando na margem do rio.,,Alfaiataria
56,,Máscara de Peixe-Bolha,Tão esponjoso quanto o de verdade!,,Alfaiataria
57,,Chapéu de Festa,Um chapéu vermelho que faz qualquer celebração mais divertida.,,Alfaiataria
58,,Chapéu de Festa,Um chapéu azul que faz qualquer celebração mais divertida.,,Alfaiataria
59,,Chapéu de Festa,Um chapéu verde que faz qualquer celebração mais divertida.,,Alfaiataria
