,Nome da Missão,Texto da Missão,Prazo,Requerimentos,Recompensas
0,Plantas Qi,"Eu escondi  Grãos Qi  pelo mundo. Encontre eles, cresça-os, prolifere-os, e envie 500  Frutas Qi  dentro do limite de tempo.",28 dias,Envie  Fruta Qi  (500)  .,100
1,Vamos jogar um jogo,"Você acha que consegue fazer 50,000 pontos no  Junimo Kart  no modo infinito? Prove.",7 dias,Marque 50.000 pontos no modo infinito do JunimoKart.,10
2,Quatro Pedras Preciosas,Encontre 4  Fragmentos Prismáticos  . Coloque-os na minha caixa de coleção.,28 dias,"Colete  Fragmento prismático  (4)  .  (Ao contrário de outras missões, você não precisa conquistá-las enquanto a missão estiver ativa. Você pode usar 4 fragmentos prismáticos que foram obtidos anteriormente.)",40
3,Desafio Faminto de Qi,"Sua tarefa é chegar ao nível 100 na  Caverna da Caveira  . No entanto, você não pode beber ou comer nada enquanto estiver lá.",7 dias,"Alcance o nível 100 da  Caverna da Caveira  sem consumir nenhum item de Comida. Isso pode ser feito usando  escadas  . Enquanto esta missão estiver ativa,  Gosmas Grandes  irão ocasionalmente aparecer com um coração que recuperará 10 HP quando morrer.  Outra estratégia para recuperar a saúde durante a missão sem comer comida é equipar um ou mais  Anel vampiro  que restauram 2 HP toda vez que um monstro é morto.",25
4,Cozinha Qi,"Envie 100,000g em comidas que você fez.",14 dias,"Envie  100 000 ouros  em itens recém cozidos. Somente itens preparados após aceitar a missão contam, e esses itens têm ""Fresco"" em seu nome.  Duas maneiras fáceis de concluir esse pedido especial são:  Comprar ou preparar 669  cafés  (que custam  200 700 ouros  , se comprados no  Saloon Fruta Estrelar  ) e preparar 223  Café Expresso Triplo  Fresco.  Cultive 1667  trigo  , transforme-os em  farinha de trigo  (ou compre 1667 farinha de trigo, que custa  166 700 ouros  se for comprada no  Armazém do Pierre  , ou  208 375 ouros  se for comprada no  MercaJoja  ) e cozinhe 1667  Pão  Fresco.",25
5,Bondade de Qi,Dê 50 presentes amados em uma semana.,7 dias,Dê 50  presentes amados  em uma semana.,40
6,Família Extendida,"Membros da família dos peixes lendários retornaram ao vale. Você tem três dias para pegar  Srta. Tamboril  ,  Peixe-Gelo Jr.  ,  Filho do Peixe-Carmim  ,  Carpa Radioativa  , e  A Lenda II  .",3 dias,"Pegue  Srta. Tamboril  ,  Peixe-Gelo Jr.  ,  Filho do Peixe-Carmim  ,  Carpa Radioativa  , e  Lenda II  . Eles podem ser capturados nos mesmos locais que os peixes da geração anterior, mas a barra de pesca não é marcada de forma distinta, como acontece com o lendário peixe original.",20
7,Perigo nas Profundezas,"O elevador da  mina  foi resetado, e novos perigos surgiram das profundezas. Chegue ao fundo das minas em uma semana.",7 dias,Alcance o fundo da  mina  nas montanhas. Isso pode ser feito usando  escadas  .,50
8,Invasão na Caverna da Caveira,A  Caverna da Caveira  foi invadida por monstros poderosos. Chegue ao nível 100 vivo.,7 dias,Chegue ao nível 100 da  Caverna da Caveira  . Isso pode ser feito usando  escadas  .,40
9,Granja Prismática de Qi,"Encontre 100 itens das cores vermelho, laranja, amarelo, verde, azul e roxo. Coloque-os na minha caixa de coleção.",14 dias,"Coloque 100 itens  vermelhos  ,  laranjas  ,  amarelos  ,  verdes  ,  azuis  e  roxos  na caixa de coleta do Sr. Qi.  Observe que a missão é mais rígida do que os potes de tinta. Os itens depositados não serão devolvidos.",35
