,nome_original,Nome,Lucro,Energia,Saude,Chance_%,Usado em,Descrição,Também achado
0,Ameixa selvagem,Ameixa selvagem,80,25,11,20,Conjunto Recursos de Outono  Sementes de outono  Pudim de ameixa  Vinho  Geléia,"Ácida e suculenta, com um expressivo aroma.",Coleta  (  Outono  )  Sementes de outono
1,Ameixa selvagem,Ameixa selvagem_prata,100,35,15,20,Conjunto Recursos de Outono  Sementes de outono  Pudim de ameixa  Vinho  Geléia,"Ácida e suculenta, com um expressivo aroma.",Coleta  (  Outono  )  Sementes de outono
2,Ameixa selvagem,Ameixa selvagem_ouro,120,45,20,20,Conjunto Recursos de Outono  Sementes de outono  Pudim de ameixa  Vinho  Geléia,"Ácida e suculenta, com um expressivo aroma.",Coleta  (  Outono  )  Sementes de outono
3,Ameixa selvagem,Ameixa selvagem_iridio,160,65,29,20,Conjunto Recursos de Outono  Sementes de outono  Pudim de ameixa  Vinho  Geléia,"Ácida e suculenta, com um expressivo aroma.",Coleta  (  Outono  )  Sementes de outono
4,Amora,Amora,20,25,11,20,Conjunto Recursos de Outono  Sementes de outono  Mexido de amoras  Vinho  Geléia,Uma delícia do começo do outono.,Coleta  (  Outono  )  Sementes de outono
5,Amora,Amora_prata,25,35,15,20,Conjunto Recursos de Outono  Sementes de outono  Mexido de amoras  Vinho  Geléia,Uma delícia do começo do outono.,Coleta  (  Outono  )  Sementes de outono
6,Amora,Amora_ouro,30,45,20,20,Conjunto Recursos de Outono  Sementes de outono  Mexido de amoras  Vinho  Geléia,Uma delícia do começo do outono.,Coleta  (  Outono  )  Sementes de outono
7,Amora,Amora_iridio,40,65,29,20,Conjunto Recursos de Outono  Sementes de outono  Mexido de amoras  Vinho  Geléia,Uma delícia do começo do outono.,Coleta  (  Outono  )  Sementes de outono
8,Amora-silvestre,Amora-silvestre,5,25,11,20,Vinho  Geléia,Uma cereja de primavera com o sabor da floresta.,Coleta  (  Primavera  )
9,Amora-silvestre,Amora-silvestre_prata,6,35,15,20,Vinho  Geléia,Uma cereja de primavera com o sabor da floresta.,Coleta  (  Primavera  )
10,Amora-silvestre,Amora-silvestre_ouro,7,45,20,20,Vinho  Geléia,Uma cereja de primavera com o sabor da floresta.,Coleta  (  Primavera  )
11,Amora-silvestre,Amora-silvestre_iridio,10,65,29,20,Vinho  Geléia,Uma cereja de primavera com o sabor da floresta.,Coleta  (  Primavera  )
12,Café de jardim,Café de jardim,80,25,11,20,Conjunto Recursos de Verão  Sementes de verão  Vinho  Geléia,Possui um cheiro bem forte.,Coleta  (  Verão  )  Sementes de verão
13,Café de jardim,Café de jardim_prata,100,35,15,20,Conjunto Recursos de Verão  Sementes de verão  Vinho  Geléia,Possui um cheiro bem forte.,Coleta  (  Verão  )  Sementes de verão
14,Café de jardim,Café de jardim_ouro,120,45,20,20,Conjunto Recursos de Verão  Sementes de verão  Vinho  Geléia,Possui um cheiro bem forte.,Coleta  (  Verão  )  Sementes de verão
15,Café de jardim,Café de jardim_iridio,160,65,29,20,Conjunto Recursos de Verão  Sementes de verão  Vinho  Geléia,Possui um cheiro bem forte.,Coleta  (  Verão  )  Sementes de verão
16,Cantarelo,Cantarelo,160,75,33,,Elixir da vida,Um cogumelo delicioso com um cheiro de frutas e um sabor ligeiramente apimentado.,Bosque Secreto  (  Outono  )
17,Cantarelo,Cantarelo_prata,200,105,47,,Elixir da vida,Um cogumelo delicioso com um cheiro de frutas e um sabor ligeiramente apimentado.,Bosque Secreto  (  Outono  )
18,Cantarelo,Cantarelo_ouro,240,135,60,,Elixir da vida,Um cogumelo delicioso com um cheiro de frutas e um sabor ligeiramente apimentado.,Bosque Secreto  (  Outono  )
19,Cantarelo,Cantarelo_iridio,320,195,87,,Elixir da vida,Um cogumelo delicioso com um cheiro de frutas e um sabor ligeiramente apimentado.,Bosque Secreto  (  Outono  )
20,Cereja,Cereja,80,38,17,3.6,Conjunto Artesão  Vinho  Geléia,"É popular, e amadurece mais cedo que a maioria das frutas.",Muda de cerejeira  (  Primavera  )
21,Cereja,Cereja_prata,100,53,23,3.6,Conjunto Artesão  Vinho  Geléia,"É popular, e amadurece mais cedo que a maioria das frutas.",Muda de cerejeira  (  Primavera  )
22,Cereja,Cereja_ouro,120,68,30,3.6,Conjunto Artesão  Vinho  Geléia,"É popular, e amadurece mais cedo que a maioria das frutas.",Muda de cerejeira  (  Primavera  )
23,Cereja,Cereja_iridio,160,98,44,3.6,Conjunto Artesão  Vinho  Geléia,"É popular, e amadurece mais cedo que a maioria das frutas.",Muda de cerejeira  (  Primavera  )
24,Cogumelo comum,Cogumelo comum,40,38,17,,Conjunto Recursos de Outono  Cogumelo frito  Sopa Tom Kha  Refogado  Sementes de outono,Com ligeiro sabor de nozes e boa textura.,"Coleta  (  Outono  )  Sementes de outono  Bosque Secreto  (  Outono  )  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
25,Cogumelo comum,Cogumelo comum_prata,50,53,23,,Conjunto Recursos de Outono  Cogumelo frito  Sopa Tom Kha  Refogado  Sementes de outono,Com ligeiro sabor de nozes e boa textura.,"Coleta  (  Outono  )  Sementes de outono  Bosque Secreto  (  Outono  )  Extraindo  da  Árvore de cogumelo  (  Primavera  ,  Verão  &  Outono  )"
