,Ingrediente,Fonte,Necessário para,Tipo,Estação,crescimento_produção,Descrição,Preço de Venda,Item de entrada,Horário,Clima,Dificuldade,Ingredientes,Bônus,Duração do Bônus,Energia,Saúde,Preço de Venda Condicional,Condição de preço condicional
0,Lagosta,Oceano,Bisque de lagosta  (1),covo,,,,,,,,,,,,,,None,
1,Concha,Oceano,Sopa de peixe  (1),covo,,,,,,,,,,,,,,None,
2,Lagostim,Água fresca,Guisado de peixe  (1),covo,,,,,,,,,,,,,,None,
3,Caranguejo,Oceano,Bolinhos de caranguejo  (1),covo,,,,,,,,,,,,,,None,
4,Mexilhão,Oceano,Guisado de peixe  (1),covo,,,,,,,,,,,,,,None,
5,Camarão,Oceano,Sopa Tom Kha  (1)  Coquetel de Camarão  (1),covo,,,,,,,,,,,,,,None,
6,Lesma,Água fresca,Escargô  (1),covo,,,,,,,,,,,,,,None,
7,Caramujo,Água fresca,Pão estranho  (1)  Guisado de peixe  (1),covo,,,,,,,,,,,,,,None,
8,Chirívia,,Sopa de chirívia  (1)  Almoço de fazendeiro  (1),cultivos,Primavera,4 Dias,,,,,,,,,,,,None,
9,Couve,,Jantar de salmão  (1)  Refogado  (1),cultivos,Primavera,6 Dias,Colha com  Foice,,,,,,,,,,,None,
10,Batata,,Batata-palha  (2x1),cultivos,Primavera,6 Dias,Tem 20% de chance de gerar batatas extras,,,,,,,,,,,None,
11,Jasmim-azul,,Almoço da sorte  (1),cultivos,Primavera,7 Dias,,,,,,,,,,,,None,
12,Vagem,,Pote de feijão  (2),cultivos,Primavera,10 Dias,Cresce em treliças. Continua produzindo a cada 3 dias após a primeira colheita.,,,,,,,,,,,None,
13,Couve-flor,,Couve-flor com queijo  (1),cultivos,Primavera,12 Dias,Pode se tornar uma  lavoura gigante,,,,,,,,,,,None,
14,Ruibarbo,,Torta de ruibarbo  (1),cultivos,Primavera,13 Dias,Sementes disponíveis no  Oásis,,,,,,,,,,,None,
15,Alho,,Risoto de samambaia  (1)  Escargô  (1),cultivos,Primavera,4 Dias,Disponível a partir do Ano 2,,,,,,,,,,,None,
