,Nome da Missão,Texto da Missão,Fornecido por,Pré-requisitos,Prazo,Requisitos,Recompensas,Repetível
0,Ingredientes da Ilha,"Eu queria experimentar com comidas tropicais, mas é difícil achar os ingredientes. Se alguém pudesse enviar 100 (Inhame-coco/gengibre/abacaxi), ajudaria!",Caroline,Ilha Gengibre  desbloqueada,28 dias,Colha e envie 100 de um dos seguintes:  Inhame-coco  (100)  Gengibre  (100)  Abacaxi  (100),Ouro  equivalente a 50% do preço base da safra  Receita do  Painel Solar,Sim
1,Patrulha da Caverna,"O número de [Monstro] tem tornado a mineração perigosa... para outras pessoas, para mim não! Há um bom dinheiro para quem conseguir matar 50. -Clint",Clint,Nenhum,7 dias,Mate 50 de um dos seguintes:  Morcegos  Espíritos da Poeira  Esqueletos  Larvas,6 000 ouros  Receita do  Esmagador de Geodos,Sim
2,Superpopulação Aquática,"Por razões desconhecidas, a população local de [Peixe] cresceu a um nível insustentável. Eu preciso de um pescador local para diminuir seus números.",Demetrius,Nenhum,7 dias,"Pesque 10 de um dos seguintes (depende da estação):  Primavera:  Linguado  ,  Achigã  ,  Halibute  ,  Peixe-sol  ,  Sardinha  Verão:  Truta arco-íris  ,  Atum  ,  Dourado  ,  Salmonete  ,  Tilápia  Outono:  Salmão híbrido  ,  Albacora  ,  Salmão  ,  Carpa da meia-noite  Inverno:  Lula  ,  Ófis  ,  Perca",Ouro  equivalente a vender o peixe  Receita do  Computador da Fazenda,Sim
3,Equilíbrio do Bioma,"Por razões desconhecidas, a população local de peixes de [rio, lago ou mar] cresceu a um nível insustentável. Eu preciso de um pescador local para diminuir seus número.",Demetrius,Nenhum,7 dias,Pesque 20 de um dos seguintes:  Peixes de Rio  Peixes de Oceano  Peixes de Lago,1 500 ouros  Receita do  Computador da Fazenda,Sim
4,Rejuvenescimento por Pedras,"Oi! Eu vou convidar uns amigos para uma cerimônia de ""rejuvenescimento por pedras"", mas eu vou precisar de uns cristais para canalizar as energias certas. Alguém pode me ajudar?",Emily,Ter acesso à  máquina de costura  na casa da Emily,7 dias,Entregue à  Emily  todos os seguintes itens:  Rubi  (1)  Topázio  (1)  Esmeralda  (1)  Jade  (1)  Ametista  (1)  Pode ser coletado antes de aceitar o pedido especial,"1 000 ouros  Amizade  Máquina de Costura  Cutscene da cerimônia do ""Rejuvenescimento por Pedras"" na  Casa da Emily",Não
5,Presentes para o George,George pensa que ninguém na vila gosta dele. Eu gostaria de provar o contrário! Uma dúzia de alhos-porós deve dar... É o favorito dele. -Evelyn,Evelyn,Primavera,28 dias,"Colete ou colha e, em seguida, coloque no fogão da Evelyn:  Alho-poró  (12)  Os itens devem ser coletados ou colhidos enquanto a missão está ativa.","2 000 ouros  Máquina de Café  Cutscene do ""Presente surpresa de alho-poró"" na  Casa do George  .",Não
6,Fragmentos do Passado,"Chamando todos os paleontólogos amadores! Eu preciso de 100 pedaços de osso para os meus estudos. Por favor, coloquem-os no balcão do museu! -Gunther",Gunther,Nenhum,7 dias,Colete e depois jogue na caixa do  Museu  :  Fragmento de Osso  (100)  Os itens devem ser coletados enquanto a missão está ativa.,3 500 ouros  Receita do  Moedor de Ossos,Não
7,O Omelete Famoso do Gus,Saudação... mas eu vou precisar de duas dúzias de ovos. Alguém tá afim? -Gus,Gus,Nenhum,14 dias,Colete e coloque na geladeira do  Saloon Fruta Estrelar  :  Ovo  (24)  Quaisquer ovos recolhidos do chão do  Galinheiro  ou de uma  Auto-Recolhedora  após o início da missão,"3 000 ouros  Mini-Geladeira  Cutscene da ""Omelete Gigante"" no  Saloon Fruta Estrelar",Sim
8,Pedido de Plantas,[Safra] estão em alta demanda este ano. Qualquer um que enviar 100 [safra] até o final da temporada vai ganhar uma recompensa substancial do Fundo Agrícola de Vila Pelicanos.,Lewis,Não ser  Inverno,28 dias,"Colha e envie 100 de um dos seguintes (depende da estação):  Couve-flor  ,  Alho  ,  Vagem  ,  Batata  ,  Mirtilo  ,  Pimenta quente  ,  Melão  ,  Rabanete  ,  Tomate  ,  Trigo  ,  Amaranto  ,  Alcachofra  ,  Couve chinesa  ,  Uva  ,  Oxicoco  ,  Berinjela  ,  Abóbora  ,  Inhame  As safras devem ser colhidas enquanto a missão está ativa.",Ouro  equivalente a 50% do preço base da safra  Mini Caixa de Remessas,Sim
9,Limpeza da Comunidade,Eu tenho uma ideia. Tem muito lixo na água. Por que não pescamos alguns para deixar o vale mais bonito? -Linus,Linus,Nenhum,7 dias,Reúna e jogue no lixo da plataforma do trem:  20 itens  Lixo  (exceto Joja-Cola)  O contador de coleta funciona com Covos.,"500 ouros  Amizade  Receita de  Sementes de Fibra  Cutscene ""Limpeza da comunidade"" no  lago da montanha",Não
10,O Negócio Forte,"Fiquei sabendo que existe um destilado de batata que bate forte, se é que me entende. Se importa de colocar umas batatas em um barril e me trazer umas amostras?",Pam,Primavera,14 dias,Colete:  Suco de Batata  (12)  Devem ser coletados do barril enquanto a missão está ativa.,"3 000 ouros  Amizade  Cutscene ""Suco de Batata"" no  Trailer  Canal de  Televisão  F.I.B.S.",Não
11,Produtos de Luxo do Pierre,"Olá. Para uma promoção futura, eu estava pensando em vender uns vegetais de alta qualidade por um preço um pouco maior... Sabe onde um comerciante econômico pode achar 25 vegetais com estrela de ouro?",Pierre,Nenhum,28 dias,Colha e coloque na caixa no Armazém Geral do Pierre:  Vegetais  de qualidade ouro (25)  Os itens devem ser colhidos enquanto a missão está ativa. Itens colhidos por  Junimos  não contam.,2 500 ouros  Cutscene no  Armazém do Pierre  Mini Caixa de Remessas,Não
12,Projeto da Robin,"Ei! Eu tenho uma ideia de um novo tipo de cama, mas eu vou precisar de 80 madeiras de lei para fazê-la. Alguém pode me ajudar? -Robin",Robin,Nenhum,7 dias,Colete:  Madeira de lei  (80),"2 000 ouros  Amizade  Cutscene do ""Projeto da Robin"" na  casa da Robin  Cama de Casal de Luxo Vermelha  (pode ser comprado na Carpintaria por  6 000 ouros  )",Não
13,Missão de Recursos da Robin,"Estou colocando um desafio, só por diversão. Se alguém conseguir coletar 1000 unidades de [Recurso] em uma semana, vão ganhar uma recompensa. E você pode manter a [Recurso]! -Robin",Robin,Nenhum,7 dias,Colete 1000 unidades de um dos seguintes:  Madeira  Pedra  Pode ser comprado na Carpintaria.,2 500 ouros  Receita do  Baú de Pedra,Sim
14,Procuro Insetos Suculentos!,"Opa, estou procurando por um bocado de insetos. Quanto mais suculentos melhor... pelo menos parece que é o que os caranguejos querem... 100 deve dar.",Willy,Nenhum,7 dias,Colete e coloque no barril ao lado da peixaria:  Carne de inseto  (100)  Os itens devem ser coletados enquanto a missão está ativa.,3 000 ouros  Receita da  Boia de Qualidade  Cutscene fora da  Peixaria,Não
15,Peixes Tropicais,"Não há nada como pesca tropical... Para manter a arte viva, estou oferecendo uma recompensa por quem trazer uma boa amostra da ilha.",Willy,"Ilha Gengibre  desbloqueada, e Resort da Ilha construído",7 dias,Pesque:  Arraia  (5)  Acará-Disco Azul  (5)  Peixe-Leão  (5),2 500 ouros  Aquário de Luxo,Não
16,Uma Substância Curiosa,"Eu procuro uma geleca extremamente rara e poderosa, conhecida como 'ectoplasma'. Ela pode ser achada em fantasmas mortos. -M. Rasmodius",Feiticeiro,Nenhum,7 dias,Obtenha e entregue:  Ectoplasma  (1),2 500 ouros  Receita do  Mini Obelisco,Não
17,Gosma Prismática,"Eu requiro assistência em localizar a rara e poderosa gosma prismática, dentro das cavernas locais. Me traga um pote de sua gosma prismática e será recompensado. -M. Rasmodius",Feiticeiro,Nenhum,7 dias,Obtenha e entregue:  Gosma Prismática  (1),5 000 ouros  Receita de  Almíscar de Monstro,Não
