,Imagem,Nome,Quantidade necessária,Estação,Localização,Necessário para:
0,,Amora,2,Outono,Por todo Stardew Valley,Mexido de amoras  (2)
1,,Cenoura subterrânea,5,Todas,As Minas,Hambúrguer de sobreviência  (1)  Refeição de mineiro  (2)  Prato de raízes  (1)  Refogado  (1)
2,,Cogumelo comum,3,Primavera  /  Outono,"Por todo Stardew Valley, incluindo o  Bosque Secreto",Cogumelo frito  (1)  Sopa Tom Kha  (1)  Refogado  (1)
3,,Dente-de-leão,1,Primavera,Por todo Stardew Valley,Salada  (1)
4,,Coco,3,Todas,O Deserto,Arroz Doce de Manga  (1)  Sopa Tom Kha  (1)  Curry Tropical  (1)
5,,Broto de samambaia,1,Verão,Bosque Secreto,Risoto de samambaia  (1)
6,,Avelã,4,Outono,Por todo Stardew Valley,Recheio  (1)  Avelãs torradas  (3)
7,,Raiz-forte,1,Primavera,Por todo Stardew Valley,Coquetel de Camarão  (1)
8,,Alho-poró,1,Primavera,Por todo Stardew Valley,Salada  (1)
9,,Morel,1,Primavera,"A Caverna  (se escolhida a opção cogumelos com  Demetrius  ),  Bosque Secreto",Cogumelo frito  (1)
10,,Ameixa selvagem,2,Outono,Por todo Stardew Valley,Pudim de ameixa  (2)
11,,Raiz de inverno,1,Inverno,"Por todo Stardew Valley,  As Minas",Prato de raízes  (1)
12,,Gengibre,3,Todas,"Por toda  Ilha Gengibre  , dropado por  Gosma-Tigre",Ginger Ale  (3)
