,Nome,Descrição,Energia/Saúde,Tempo de Processamento,Venda (ouros),Ingredientes,Qualidade base,Prata (x 1.25),Ouro (x 1.5),Irídio (x 2),Tempo
0,Café,Possui um cheiro delicioso. Com certeza vai lhe dar energia extra.,3  1  Velocidade  (+1),,150 ouros,Grão de café  (5),,,,,120min (2h)
1,Caviar,As ovas maturadas de um esturjão. Consideradas uma iguaria luxuosa!,175  78,,500 ouros,Ovas de Esturjão  (1),,,,,6000min (4 dias)
2,Cerveja,Beba com moderação.,50  22,,200 ouros,Trigo  (1),200 ouros,250 ouros  Envelhecido: 7 Dias,300 ouros  Envelhecido: 7 Dias  Total: 14 Dias,400 ouros  Envelhecido: 14 Dias  Total: 28 Dias,1750min (1-2 dias)
3,Geléia,Gosmenta.,Não comestível,,2 × Preço Base da  Fruta  + 50,Qualquer  fruta  (1),,,,,4000min（≈3d)
4,Hidromel,Uma bebida fermentada feita com mel. Beba com moderação.,75  33,,300 ouros,Mel  (1),300 ouros,375 ouros  Envelhecido: 7 Dias,450 ouros  Envelhecido: 7 Dias  Total: 14 Dias,600 ouros  Envelhecido: 14 Dias  Total: 28 Dias,600min (10h)
5,Maionese,Dá para espalhar.,Não comestível,,190 ouros  237 ouros  285 ouros  380 ouros,Ovo  (1)  ou  Ovo grande  (1)  ou  Ovo de Avestruz  ou  Ovo Dourado,,,,,3 Horas
6,Maionese de Dinossauro,"É grossa e cremosa, com uma cor verde intensa. Tem cheiro de grama e couro.",Não comestível,,800 ouros,Ovo de dinossauro  (1),,,,,3 Horas
7,Maionese de ovo de pato,Rica e amarelinha.,Não comestível,,375 ouros,Ovo de pata  (1),,,,,3 Horas
8,Maionese nula,Uma pasta espessa e grossa com cheiro de cabelo queimado.,−75,,275 ouros,Ovo nulo  (1),,,,,3 Horas
9,Mel,É um xarope doce produzido por abelhas.,Não comestível,6100min (≈4d),Selvagem (  100 ouros  )  Tulipa  (  160 ouros  )  Jasmim-Azul  (  200 ouros  )  Flor-Miçanga  (  280 ouros  )  Papoula  (  380 ouros  )  Rosa-de-fada  (  680 ouros  ),,,,,,
10,Ovas Maturadas,Ovas de peixe com sal para ressaltar o sabor.,100  45,,2 × Preço Base das  Ovas,Ovas  (1),,,,,4000min (2-3 dias)
11,Pale Ale,Beba com moderação.,50  22,,300 ouros,Lúpulo  (1),300 ouros,375 ouros  Envelhecido: 9 Dias,450 ouros  Envelhecido: 8 Dias  Total: 17 Dias,600 ouros  Envelhecido: 17 Dias  Total: 34 Dias,2250min (1-2 dias)
12,Picles,Uma jarra com seus picles caseiros.,Não comestível,,2 × Preço Base do  Vegetal  + 50,Qualquer  vegetal  (1),,,,,4000min（≈3d)
13,Queijo,Queijo comum.,125  56  225  101,,230 ouros  345 ouros,Leite  (1)  ou  Leite grande  (1),230 ouros,287 ouros  Envelhecido: 3 Dias,345 ouros  Envelhecido: 4 Dias  Total: 7 Dias,460 ouros  Envelhecido: 7 Dias  Total: 14 Dias,"200min (3,3h)"
14,Queijo de cabra,Queijo suave feito com leite de cabra.,125  56  225  101,,400 ouros  600 ouros,Leite de cabra  (1)  ou  Leite grande de cabra  (1),400 ouros,500 ouros  Envelhecido: 3 Dias,600 ouros  Envelhecido: 4 Dias  Total: 7 Dias,800 ouros  Envelhecido: 7 Dias  Total: 14 Dias,"200min (3,3h)"
15,Suco,Uma bebida doce e nutritiva.,75  33,,2.25 × Valor base do  vegetal,Qualquer  vegetal  (1),,,,,6000min (≈4 dias)
16,Tecido,Feito com lã fina.,,,470 ouros,Lã  (1),,,,,4 Horas
17,Vinho,Beba com moderação.,50  22,,3 × Valor base da  fruta,Qualquer  fruta  (1),3 x Preço Base da Fruta,(3 x Base) x 1.25  Envelhecido: 14 Dias,(3 x Base) x 1.5  Envelhecido: 14 Dias  Total: 28 Dias,(3 x Base) x 2  Envelhecido: 28 Dias  Total: 56 Dias,10 000min (≈7 dias)
18,Óleo,Óleo de cozinha multiuso.,13  5,,100 ouros,Sementes de Girassol  (1),,,,,3200min (2d)
19,Óleo,Óleo de cozinha multiuso.,13  5,,100 ouros,Milho  (1),,,,,1000min (≈16h)
20,Óleo,Óleo de cozinha multiuso.,13  5,,100 ouros,Girassol  (1),,,,,60min (1h)
21,Óleo de trufas,Um ingrediente gourmet.,38  17,,1 065 ouros,Trufa  (1),,,,,360min (6h)
